Scheme,Question,Answer
Jaivik Kheti,What products are offered in the E-commerce section of the Jaivik Kheti portal?,"The E-commerce section of the portal provides a diverse range of organic products, including grains, pulses, fruits, and vegetables, allowing buyers to access organic produce conveniently."
Jaivik Kheti,How does the Jaivik Kheti portal benefit buyers in terms of organic products?,"Buyers can conveniently purchase organic products at their doorstep through the portal, enjoying the added benefit of lower prices. The portal connects consumers with organic farmers, who work tirelessly to make their products available at competitive prices."
Jaivik Kheti,What stakeholders does the Jaivik Kheti portal link for the development and promotion of organic farming?,"The portal serves as a link between various stakeholders, including regional councils, local groups, individual farmers, buyers, government agencies, and input suppliers. It aims for all-inclusive development and promotion of organic farming."
Jaivik Kheti,How does the Jaivik Kheti portal assist farmers in getting the best prices for their products?,"The portal employs various price discovery mechanisms, including forward auction, price-quantity bidding, book building, and reverse auction mechanisms. These mechanisms are designed to help farmers secure optimal prices for their organic products."
e-Nam,"What is e-National Agriculture Market (e-NAM), and when was it launched?","e-National Agriculture Market (e-NAM) is a pan-India electronic trading portal that networks existing APMC mandis to create a unified national market for agricultural commodities. It was launched on April 14, 2016, with the aim of creating a common online market platform for agricultural commodities in India."
e-Nam,What services does the e-NAM portal provide to stakeholders?,"The e-NAM portal serves as a single-window service for all APMC-related information and services. It includes commodity arrivals & prices, buy & sell trade offers, provision to respond to trade offers, and other services. It facilitates online trading, reducing transaction costs and information asymmetry."
e-Nam,How does e-NAM address the challenges in agriculture marketing?,"e-NAM addresses market fragmentation by creating a unified market through an online trading platform. It operates at both state and national levels, promoting uniformity, streamlining procedures, removing information asymmetry, and facilitating real-time price discovery based on actual demand and supply."
e-Nam,What are the objectives of e-NAM?,"The objectives of e-NAM include establishing a national e-market platform for transparent sale transactions and price discovery, encouraging states to enact suitable provisions for e-trading, liberalizing licensing for traders, harmonizing quality standards, and providing a single point levy of market fees."
e-Nam,How does e-NAM benefit farmers in terms of price discovery?,"e-NAM provides various price discovery mechanisms, including forward auction, price-quantity bidding, book building, and reverse auction. These mechanisms help farmers get the best prices for their products, ensuring fair and transparent transactions."
e-Nam,What role does the Strategic Partner play in the e-NAM platform?,"The Strategic Partner, in this case, M/s. Nagarjuna Fertilizers and Chemicals Ltd., is responsible for the development, operation, and maintenance of the e-NAM platform. Their role includes writing software, customizing it for state integration, and running the platform effectively."
e-Nam,How does e-NAM promote transparency and access to a nationwide market for farmers?,"e-NAM promotes transparency by providing real-time information on commodity arrivals, prices, and facilitating online trading. It allows farmers to access a nationwide market, ensuring prices commensurate with the quality of their produce and providing better quality produce at reasonable prices to consumers."
e-Nam,How many plant quarantine stations are there in India?,"There are 35 plant quarantine stations at different airports, seaports, and land frontiers implementing plant quarantine regulations in India."
Soil Health Card,"What is the Soil Health Card (SHC) scheme, and which government department promotes it?",The Soil Health Card (SHC) scheme is promoted by the Government of India through the Department of Agriculture & Co-operation under the Ministry of Agriculture and Farmers' Welfare.
Soil Health Card,What is the purpose of a Soil Health Card (SHC)?,A Soil Health Card (SHC) is meant to provide each farmer with the soil nutrient status of their holding. It advises farmers on the dosage of fertilizers and needed soil amendments to maintain soil health in the long run.
Soil Health Card,What information does a Soil Health Card contain?,"A Soil Health Card contains the status of soil with respect to 12 parameters, including N, P, K (Macro-nutrients), S (Secondary-nutrient), Zn, Fe, Cu, Mn, Bo (Micro-nutrients), and pH, EC, OC (Physical parameters). It also provides fertilizer recommendations and soil amendment requirements."
Soil Health Card,How can a farmer use a Soil Health Card?,"A farmer can use the Soil Health Card to understand the nutrient status of their soil. The card provides recommendations on the dosage of different nutrients, advises on the application of fertilizers, and suggests soil amendments for optimal yields."
Soil Health Card,"How often will a farmer receive a Soil Health Card, and for which crops?","A Soil Health Card will be provided once in a cycle of 2 years, indicating the soil health status for that period. The subsequent card in the next cycle will record changes in soil health."
Soil Health Card,What are the norms for soil sampling in the Soil Health Card scheme?,Soil samples are drawn in a grid of 2.5 ha in irrigated areas and 10 ha in rain-fed areas using GPS tools and revenue maps.
Soil Health Card,"Who collects soil samples, and how is it done?","Soil samples are collected by the State Government through their Department of Agriculture staff or an outsourced agency. Trained personnel collect samples from a depth of 15-20 cm in a ""V"" shape from four corners and the center of the field."
Soil Health Card,What is the ideal time for soil sampling?,"Soil samples are generally taken twice a year, after harvesting Rabi and Kharif crops, or when there is no standing crop in the field."
Soil Health Card,"Where are soil samples tested, and who conducts the testing?","Soil samples are tested at Soil Testing Laboratories (STLs) owned by the Department of Agriculture, outsourced agencies, ICAR Institutions, Science Colleges/Universities, or their own staff."
Soil Health Card,How much payment is provided per soil sample in the Soil Health Card scheme?,"State Governments receive Rs. 190 per soil sample, covering the cost of collection, testing, generation, and distribution of the Soil Health Card to the farmer."
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What is the name of the government scheme that provides crop insurance coverage to farmers in India?,The scheme is called the Pradhan Mantri Fasal Bima Yojana (PMFBY).\r\n\r\n2.
Pradhan Mantri Fasal Bima Yojana (PMFBY).,When was the Pradhan Mantri Fasal Bima Yojana (PMFBY) launched?,PMFBY was launched in 2016.\r\n\r\n3.
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What crops are covered under the Pradhan Mantri Fasal Bima Yojana (PMFBY)?,PMFBY covers all food & oilseed crops and annual commercial/horticultural crops for which past yield data is available.\r\n\r\n4.
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What is the premium percentage that farmers need to pay for Kharif crops under PMFBY?,Farmers need to pay a premium of 2% for Kharif crops under PMFBY.\r\n\r\n5.
Pradhan Mantri Fasal Bima Yojana (PMFBY).,How many years of implementation has the Pradhan Mantri Fasal Bima Yojana (PMFBY) completed as of Kharif 2022?,PMFBY has completed six years of implementation since its announcement in 2016.\r\n\r\n6.
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What is the objective of the Pradhan Mantri Fasal Bima Yojana (PMFBY)?,"The objectives of PMFBY include providing insurance coverage and financial support to farmers in case of crop failure, stabilizing farmers' income, encouraging adoption of modern agricultural practices, and ensuring flow of credit to the agriculture sector.\r\n\r\n7."
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What is the premium percentage that farmers need to pay for rabi crops under PMFBY?,Farmers need to pay a premium of 1.5% for rabi crops under PMFBY.\r\n\r\n8.
Pradhan Mantri Fasal Bima Yojana (PMFBY).,"What is the purpose of the ""Meri Policy Mere Hath"" campaign launched by the government?","The campaign aims to ensure that all farmers are well aware and equipped with information on their crop insurance policies, land records, and the process of claim and grievance redressal under PMFBY.\r\n\r\n9."
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What is the significance of the PMFBY 2.0 version?,"PMFBY 2.0 introduced significant changes such as making enrollment completely voluntary for farmers, capping the Centre's premium subsidy, giving more flexibility to states, penalizing states for delayed payments, and mandating insurance companies to invest in information, education, and communication activities.\r\n\r\n10."
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What is the total number of farmer applications insured under the Pradhan Mantri Fasal Bima Yojana (PMFBY)?,"Till date, PMFBY has insured over 30 crore farmer applications.\r\n\r\n11."
Pradhan Mantri Fasal Bima Yojana (PMFBY).,How much claims have been paid under the Pradhan Mantri Fasal Bima Yojana (PMFBY)?,"Rs.95,000 crores claims have been paid under PMFBY.\r\n\r\n12."
Pradhan Mantri Fasal Bima Yojana (PMFBY).,What is the premium percentage for annual commercial and horticultural crops under PMFBY?,The premium percentage for annual commercial and horticultural crops under PMFBY is 5%.
Saur Sujala Yojana,What is the primary objective of the Saur Sujala Yojana?,"The primary objective of the Saur Sujala Yojana is to empower farmers by providing subsidized solar irrigation pumps, enhancing agricultural production and groundwater conservation."
Saur Sujala Yojana,"Who implements the Saur Sujala Yojana, and how are beneficiaries selected?",The Saur Sujala Yojana is implemented by the Chhattisgarh State Renewable Energy Development Agency (CREDA). Beneficiaries are selected by the Agriculture Department based on predefined guidelines.
Saur Sujala Yojana,Can you elaborate on the types and capacities of solar pumps provided under the Saur Sujala Yojana?,"The Saur Sujala Yojana offers solar pumps with capacities of 03 H.P. and 05 H.P., available in both AC and DC configurations, catering to diverse agricultural needs."
Saur Sujala Yojana,"What are the benefits offered under the Saur Sujala Yojana, and how are the contribution amounts structured?","The scheme provides subsidized rates for solar pumps, with contribution amounts based on pump capacity and beneficiary category. For instance, SC/ST beneficiaries contribute Rs. 7000 for a 03 H.P. pump."
Saur Sujala Yojana,"Who is eligible to apply for the Saur Sujala Yojana, and what are the essential criteria?","Small, medium, and large-scale farmers in Chhattisgarh are eligible. Applicants must own agricultural land and a water source, ensuring the benefits reach genuine farmers."
Saur Sujala Yojana,"What is the application process for the Saur Sujala Yojana, and can it be done offline?","The application process involves visiting the official website, selecting ""Saur Sujala Yojana Online Apply,"" and filling out details. Offline applications are accepted following a prescribed process."
Saur Sujala Yojana,"Are there additional fees associated with the Saur Sujala Yojana, and if so, how are they calculated?","In addition to the beneficiary contribution, a processing fee is applicable based on the pump's per-watt rate. For a 05 H.P. pump, it is Rs. 4800."
Saur Sujala Yojana,How many solar pumps have been installed under the Saur Sujala Yojana as of the latest statistics?,"As of the latest data, the Saur Sujala Yojana has successfully installed more than 01 lakh solar pumps, showcasing its substantial impact on sustainable agricultural practices."
Saur Sujala Yojana,Can you provide insights into the impact of the Saur Sujala Yojana on farmers and the rural economy?,"The scheme not only enhances agricultural production but also reduces dependency on traditional power, contributing to a resilient rural economy."
Saur Sujala Yojana,"What documents are mandatory for applying to the Saur Sujala Yojana, emphasizing their role in the application process?","Mandatory documents include the application form, address proof, Aadhaar card, caste certificate, and photographs. They play a crucial role in verifying the applicant's identity and eligibility."
Saur Sujala Yojana,How does the Saur Sujala Yojana contribute to groundwater conservation?,"By promoting the use of solar irrigation pumps, the scheme actively contributes to the conservation and augmentation of groundwater resources, ensuring sustainable water management."
Saur Sujala Yojana,"Can farmers apply for the Saur Sujala Yojana offline, and what are the key steps in the offline application process?","Yes, farmers can apply offline. They need to follow the prescribed application process, submitting necessary documents, ensuring accessibility for a diverse range of potential beneficiaries."
Chief Minister Floriculture Mission,What is the Chief Minister Floriculture Mission all about?,"The Chief Minister Floriculture Mission in Assam aims to boost the floriculture sector by providing support to farmers. The state, known for its diverse flowering species, seeks to enhance commercialization and increase the contribution of floriculture to the agricultural economy.\r\n\r\n2nd Data:"
Chief Minister Floriculture Mission,How has the floriculture sector in Assam evolved over time?,"Despite a rich diversity of flowering species, floriculture in Assam has primarily been a household practice. The state lags behind in commercialization, with less than 1% of the total area under floriculture in the country. Challenges include competition from neighboring states, particularly West Bengal, dominating Assam's flower market.\r\n\r\n3rd Data:"
Chief Minister Floriculture Mission,"What are the key challenges faced by the floriculture sector in Assam, as highlighted in the Chief Minister Floriculture Mission?","Challenges include low internal production, inconsistent supply, and competition from neighboring states like West Bengal. The annual inflow of flowers from West Bengal to Assam's market is estimated at Rs. 7-8 crores, posing revenue outflow challenges for the state.\r\n\r\n4th Data:"
Chief Minister Floriculture Mission,How does the Chief Minister Floriculture Mission propose to support farmers in Assam?,"The government, through the mission, provides planting materials, shade net, and a garden tool kit. Beneficiaries need to erect structures themselves, while the cost of bed preparation, fertilizer, etc., is borne by them. Departmental officers offer technical support, with a focus on cultivating Gerbera under shade net houses.\r\n\r\n5th Data:"
Chief Minister Floriculture Mission,Who is eligible to benefit from the Chief Minister Floriculture Mission in Assam?,The mission targets small and marginal farmers in rural and urban areas. Priority is given to women SHGs and unemployed youths. Beneficiaries should have their own land or rented land on long-term lease. Each beneficiary can avail only one unit of 200 sqm.\r\n\r\n6th Data:
Chief Minister Floriculture Mission,How does the Chief Minister Floriculture Mission ensure proper beneficiary selection?,"The District Level Beneficiaries Selection Committee, through wide publicity in mass media, finalizes beneficiary selection. The committee ensures representation from SC and ST farmers. DAO/DNO monitors progress and reports to HQ every fortnight.\r\n\r\n7th Data:"
Chief Minister Floriculture Mission,What is the cultivation focus under the Chief Minister Floriculture Mission for the year 2015-16?,"The mission proposes to cultivate Gerbera under shade net houses with tissue-cultured planting materials, covering an area of 200 sqm per unit.\r\n\r\n8th Data:"
Chief Minister Floriculture Mission,How does the application process for the Chief Minister Floriculture Mission work?,"The application process is offline. Interested individuals can contact the Agriculture Department in Dispur, Guwahati, or the Director of Horticulture and FP Assam in Khanapara, Guwahati.\r\n\r\n9th Data:"
Chief Minister Floriculture Mission,What documents are required for applying to the Chief Minister Floriculture Mission?,"Applicants need to submit Aadhaar card, voter card, and details of a valid bank account for scheme participation.\r\n\r\n10th Data:"
Chief Minister Floriculture Mission,How does the Chief Minister Floriculture Mission address the need for technical knowledge among beneficiaries?,The concerning departmental officers provide complete technical support to beneficiaries and disseminate modern cultivation technology through training and skill teaching.\r\n\r\n11th Data:
Chief Minister Floriculture Mission,How does the Chief Minister Floriculture Mission contribute to sustaining agriculture as a profitable venture?,"By encouraging high-value crop options like floriculture, the mission aims to provide significantly higher net returns to farmers compared to other agricultural production options, thanks to the unique and diversified uses of flowers.\r\n\r\n12th Data:"
Chief Minister Floriculture Mission,What is the geographical scope of the Chief Minister Floriculture Mission?,"The mission is implemented in both rural and urban areas of Assam, reflecting its commitment to fostering floriculture across diverse landscapes."
Farming Agreement Final Act,"What is the official title of the farming agreement established for farmers in India, and when did it come into force?","The official title of the farming agreement is ""The Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020,"" and it came into force on the 5th of June, 2020."
Farming Agreement Final Act,"Can you provide a brief overview of the key objectives of the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","The key objectives of the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020, include establishing a national framework for farming agreements, empowering and protecting farmers in engaging with agri-business firms, processors, wholesalers, exporters, or large retailers. The act aims to facilitate fair and transparent transactions for farm services and the sale of future farming produce at a mutually agreed remunerative price."
Farming Agreement Final Act,"How is a farming agreement defined under the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","A farming agreement, as per the act, is a written agreement between a farmer and a Sponsor, or a farmer, a Sponsor, and any third party. It is entered into prior to the production or rearing of any farming produce of a predetermined quality. The Sponsor agrees to purchase the farming produce from the farmer and provide farm services. The farming agreement may include trade and commerce agreements, production agreements, or a combination of specified agreements."
Farming Agreement Final Act,"What does the term ""farm services"" encompass within the context of the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","Farm services, as defined in the act, include the supply of seed, feed, fodder, agro-chemicals, machinery, technology, advice, non-chemical agro-inputs, and other inputs for farming."
Farming Agreement Final Act,"How long can a farming agreement, as per the act, be valid, and what is the minimum and maximum period for such agreements?","The minimum period for a farming agreement is one crop season or one production cycle of livestock, and the maximum period is five years. However, in cases where the production cycle exceeds five years, the maximum period can be mutually decided by the farmer and the Sponsor, explicitly mentioned in the farming agreement."
Farming Agreement Final Act,"What is the significance of the term ""force majeure"" within the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","The term ""force majeure"" in the act refers to any unforeseen external event, including flood, drought, bad weather, earthquake, epidemic outbreak of disease, insect-pests, or other events that are unavoidable and beyond the control of the parties entering into a farming agreement."
Farming Agreement Final Act,"How is the pricing of farming produce determined under the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","The price to be paid for the purchase of farming produce may be determined and mentioned in the farming agreement itself. If the price is subject to variation, the agreement should explicitly provide for a guaranteed price for the produce and a clear price reference for any additional amount, including bonus or premium. The price reference may be linked to prevailing prices in specified APMC yard or electronic trading and transaction platform."
Farming Agreement Final Act,"What responsibilities does the Sponsor have when the delivery of farming produce is to be taken at the farm gate, according to the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","When the delivery of farming produce is to be taken at the farm gate, the Sponsor is responsible for taking delivery within the agreed time. The Sponsor must ensure that all preparations for the timely acceptance of such delivery have been made."
Farming Agreement Final Act,"How is the dispute settlement process structured under the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","Every farming agreement is required to explicitly provide for a conciliation process and the formation of a conciliation board consisting of representatives of parties to the agreement. Disputes arising from farming agreements are initially referred to the conciliation board for settlement. If a settlement is not reached within thirty days, the concerned Sub-Divisional Magistrate becomes the Sub-Divisional Authority for deciding the disputes."
Farming Agreement Final Act,"What is the role of the Sub-Divisional Authority in resolving disputes under the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","The Sub-Divisional Authority, in case of disputes not settled through conciliation, decides the dispute in a summary manner within thirty days. The authority may order recovery of the amount under dispute, along with penalty and interest, subject to conditions specified in the act. The order passed by the Sub-Divisional Authority has the same force as a decree of a civil court."
Farming Agreement Final Act,"What is the purpose of the Registration Authority mentioned in the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","The Registration Authority is established to provide an electronic registry for the state, offering a facilitative framework for the registration of farming agreements. The authority plays a crucial role in implementing the provisions of the act related to the registration of agreements."
Farming Agreement Final Act,"Can a farming agreement be linked with insurance or credit instruments, and what is the purpose of such linkage according to the Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020?","Yes, a farming agreement may be linked with insurance or credit instruments under any scheme of the Central Government or the State Government or any financial service provider. The purpose of this linkage is to ensure risk mitigation and the flow of credit to the farmer or Sponsor or both, thereby enhancing financial security in farming agreements."
National Animal Disease Control Programme,"What is the primary objective of the ""National Animal Disease Control Programme (NADCP)""?","The primary objective of the ""National Animal Disease Control Programme (NADCP)"" is to control and eventually eradicate Foot and Mouth Disease (FMD) and Brucellosis by vaccinating susceptible livestock populations."
National Animal Disease Control Programme,"How does the ""NADCP"" plan to address Foot and Mouth Disease (FMD), and why is it crucial?","The ""NADCP"" aims to address FMD through mass vaccination of susceptible livestock, considering its highly contagious nature that negatively impacts milk yield, growth rate, and overall livestock health."
National Animal Disease Control Programme,"What is Brucellosis, and how does the ""NADCP"" propose to control it?","Brucellosis is a reproductive disease affecting cattle and buffaloes. The ""NADCP"" plans to control Brucellosis by implementing a once-in-a-lifetime vaccination of female bovine calves (4-8 months old)."
National Animal Disease Control Programme,"What are the key objectives of the ""NADCP"" for FMD and Brucellosis?","The ""NADCP"" aims to control FMD by 2025 through vaccination and eradicate it by 2030. Simultaneously, it seeks to implement an intensive Brucellosis Control program to manage the disease effectively."
National Animal Disease Control Programme,"How is the ""NADCP"" funded, and what are its major activities?","The ""NADCP"" is a Central Sector Scheme funded entirely by the Central Government. Major activities include mass vaccination, deworming, awareness campaigns, animal identification, maintaining vaccination records, serosurveillance, and monitoring program impact."
National Animal Disease Control Programme,"What is the total outlay for the ""NADCP,"" and how long is the implementation period?","The total outlay for the ""NADCP"" is Rs. 13,343.00 crore for five years (2019-20 to 2023-24). The program aims to achieve its objectives within this timeframe."
National Animal Disease Control Programme,"Why is controlling Brucellosis important, and how does vaccination play a role?","Controlling Brucellosis is crucial as it causes reproductive issues, abortion, infertility, and loss of calves. Vaccination of female bovine calves is the key preventive measure proposed by the ""NADCP."""
National Animal Disease Control Programme,What are the major challenges in eradicating Foot and Mouth Disease (FMD)?,"Eradicating FMD poses challenges due to its highly contagious nature, necessitating mass vaccination at regular intervals to reduce disease incidence gradually."
National Animal Disease Control Programme,"How does the ""NADCP"" ensure the quality of vaccination and track its progress?","The ""NADCP"" ensures vaccination quality through activities like ear-tagging, registration, maintaining animal health records, serosurveillance, and regular monitoring and evaluation."
National Animal Disease Control Programme,"How does the ""NADCP"" involve and incentivize vaccinators in the program?","The program provides remuneration to vaccinators, ensuring a fair payment of at least Rs. 3/- per vaccination dose and Rs. 2/- per animal for ear-tagging, thus incentivizing their participation."
National Animal Disease Control Programme,"What role does public awareness play in the success of the ""NADCP""?","Public awareness is crucial for the success of the ""NADCP,"" and the program includes publicity and mass awareness campaigns at national, state, block, and village levels."
National Animal Disease Control Programme,"How does the ""NADCP"" regulate animal movement to prevent disease spread?","The program regulates animal movement through temporary quarantine/checkposts, ensuring that disease transmission is minimized during the vaccination and control efforts."
Dairy Processing & Infrastructure Development Fund,"What is the primary objective of the ""Dairy Processing & Infrastructure Development Fund (DIDF)""?","The primary objective of the ""Dairy Processing & Infrastructure Development Fund (DIDF)"" is to provide subsidized loans to capital-stressed milk cooperatives for modernizing chilling and processing plants."
Dairy Processing & Infrastructure Development Fund,"Who are the eligible end borrowers under the ""DIDF"" scheme?","Eligible end borrowers under the ""DIDF"" scheme include State Dairy Federations, District Milk Unions, Milk Producers Companies, Multi-State Cooperatives, and NDDB subsidiaries, with the goal of strengthening the dairy sector."
Dairy Processing & Infrastructure Development Fund,"What are the components of the ""DIDF,"" and how do they contribute to the dairy sector's development?","The ""DIDF"" includes components such as milk processing plants, chilling infrastructure, value-added product plants, cattle feed/ feed supplement plants, milk transportation systems, marketing infrastructure, ICT infrastructure, R&D, renewable energy infrastructure, and more, all contributing to the modernization and efficiency of the dairy sector."
Dairy Processing & Infrastructure Development Fund,"What are the funding sources for the ""DIDF"" scheme, and how is the interest subvention structured?","The ""DIDF"" is funded through a corpus of Rs. 8,004 crore, with a loan from NABARD to NDDB/NCDC. The interest subvention is 2.5%, with any increase in the cost of funds borne by the Eligible End Borrowers (EEB)."
Dairy Processing & Infrastructure Development Fund,"How does the ""DIDF"" aim to improve the efficiency of milk procurement systems?","The ""DIDF"" focuses on building an efficient milk procurement system by setting up processing and chilling infrastructure, installing electronic milk adulteration testing equipment at the village level, and supporting various other components."
Dairy Processing & Infrastructure Development Fund,"What is the revised funding and repayment period for the ""DIDF"" scheme?","The funding period of the ""DIDF"" scheme has been revised to 2018-19 to 2022-23, with the repayment period extended up to 2030-31, including a spill-over to the first quarter of FY 2031-32."
Dairy Processing & Infrastructure Development Fund,"How is the ""DIDF"" contributing to the development of the dairy sector in terms of new components added in June 2021?","New components added in June 2021, including cattle feed/ feed supplement plants, milk transportation systems, marketing infrastructure, ICT infrastructure, renewable energy infrastructure, and more, aim to further enhance the dairy sector's growth and sustainability."
Dairy Processing & Infrastructure Development Fund,"Who implements the ""DIDF"" scheme, and what is the role of newly added entities like Registered FPOs & SHGs?","The ""DIDF"" scheme is implemented by NDDB and NCDC, with end implementing agencies including State Milk Federations, District Milk Unions, Multi-State Dairy Cooperatives, Milk Producer Companies, Subsidiaries of NDDB, Registered FPOs, and SHGs, ensuring a diverse and inclusive approach."
Dairy Processing & Infrastructure Development Fund,"What role does the ""DIDF"" play in encouraging innovation and research and development (R&D) in the dairy sector?","The ""DIDF"" contributes to innovation and R&D in the dairy sector by including components such as R&D labs, equipment, new technology, and product development, fostering advancements in the industry."
Dairy Processing & Infrastructure Development Fund,"How does the ""DIDF"" scheme promote the use of renewable energy in the dairy sector?","The ""DIDF"" supports the use of renewable energy in the dairy sector through components like renewable energy infrastructure/plants and trigen/energy efficiency infrastructure, contributing to sustainable practices and reducing environmental impact."
Dairy Processing & Infrastructure Development Fund,"What is the significance of the interest subvention provided by DAHD to NABARD in the ""DIDF"" scheme?","The interest subvention of 2.5%, effective from 11.09.2020, provided by DAHD to NABARD ensures that the ""DIDF"" remains financially viable and supports the dairy sector effectively."
Dairy Processing & Infrastructure Development Fund,"How does the ""DIDF"" scheme address the needs of small-scale dairy farmers and producers?","The ""DIDF"" scheme addresses the needs of small-scale dairy farmers and producers by providing subsidized loans and supporting components like milk transportation systems, marketing infrastructure, and packaging material manufacturing units for dairy purposes."
Animal Husbandry Infrastructure Development Fund (AHIDF),What is the main objective of the National Animal Disease Control Programme (NADCP)?,"The main objective of the National Animal Disease Control Programme (NADCP) is to control Foot and Mouth Disease (FMD) and Brucellosis by vaccinating 100% cattle, buffalo, sheep, goat, and pig populations for FMD, and 100% bovine female calves of 4-8 months for brucellosis."
Animal Husbandry Infrastructure Development Fund (AHIDF),How does NADCP contribute to the control of Foot and Mouth Disease (FMD)?,"NADCP achieves control of FMD by mass vaccination of susceptible livestock at regular intervals, gradually paving the way for the eradication of the disease from the country."
Animal Husbandry Infrastructure Development Fund (AHIDF),What is the significance of controlling Foot and Mouth Disease for livestock?,"Controlling FMD is crucial as it prevents a reduction in milk yield, decreased growth rate, infertility, and trade embargoes in the international market, ultimately leading to the gradual eradication of the disease."
Animal Husbandry Infrastructure Development Fund (AHIDF),How does NADCP address Brucellosis in cattle and buffaloes?,"NADCP controls Brucellosis by vaccinating female bovine calves (4-8 months old) once in a lifetime, preventing the reproductive disease characterized by fever, abortion, infertility, and interrupted lactation."
Animal Husbandry Infrastructure Development Fund (AHIDF),What are the overall objectives of the National Animal Disease Control Programme (NADCP)?,"The overall objectives of NADCP are to control FMD by 2025 through vaccination and achieve its eradication by 2030, leading to increased domestic production and exports of milk and livestock products."
Animal Husbandry Infrastructure Development Fund (AHIDF),What are the major activities under NADCP for FMD and Brucellosis?,"Major activities include vaccinating susceptible populations, primary vaccination of bovine calves, deworming, awareness campaigns, target animal identification, maintaining vaccination records, serosurveillance, and monitoring and evaluation of the program's impact."
Animal Husbandry Infrastructure Development Fund (AHIDF),"How is NADCP funded, and what is the role of the Central Government?","NADCP is a Central Sector Scheme, and 100% of funds are provided by the Central Government to the States/UTs for its implementation."
Animal Husbandry Infrastructure Development Fund (AHIDF),What role does NADCP play in maintaining animal health records?,"NADCP maintains animal health records through Animal Health cards, ensuring proper documentation of vaccination and other health-related information."
Animal Husbandry Infrastructure Development Fund (AHIDF),How does NADCP regulate animal movement to prevent the spread of diseases?,"NADCP regulates animal movement through temporary quarantine/checkposts, ensuring that the spread of diseases is controlled."
Animal Husbandry Infrastructure Development Fund (AHIDF),What is the role of NADCP in investigating outbreaks and isolating viruses?,"In case of outbreaks, NADCP conducts investigation and virus isolation, followed by typing the virus to understand and control the spread."
Animal Husbandry Infrastructure Development Fund (AHIDF),What is the significance of serosurveillance/seromonitoring in NADCP?,"Serosurveillance/seromonitoring helps monitor the prevalence of diseases in the animal population, providing essential data for control and prevention strategies."
Animal Husbandry Infrastructure Development Fund (AHIDF),How does NADCP incentivize vaccinators and ensure their fair remuneration?,"NADCP provides remuneration to vaccinators, ensuring it is not less than Rs. 3/- per vaccination dose and Rs. 2/- per animal for ear-tagging, including animal data entry.\r\n\r\nQ&A fo"
 Dairy Cooperatives & Farmer Producer Organizations,"What is the primary objective of the ""Supporting Dairy Cooperatives & Farmer Producer Organizations (SDCFPO)"" scheme?","The primary objective of the ""SDCFPO"" scheme is to provide working capital loans to State Cooperatives and Federations engaged in dairy activities, assisting them during adverse market conditions or natural calamities."
 Dairy Cooperatives & Farmer Producer Organizations,"How does the ""SDCFPO"" scheme support dairy farmers and enable timely payments?","The scheme provides soft working capital loans to State Dairy Cooperative Federations, ensuring stable market access for dairy farmers and enabling timely payments, even during challenging market conditions."
 Dairy Cooperatives & Farmer Producer Organizations,"What components are covered under the ""SDCFPO"" scheme for availing working capital loans?","The ""SDCFPO"" scheme covers products like Skimmed Milk Powder (SMP), Whole Milk Powder (WMP), White Butter, and Ghee for availing working capital loans."
 Dairy Cooperatives & Farmer Producer Organizations,How does the scheme incorporate interest subvention and additional incentives for prompt repayment?,The scheme offers interest subvention of 2% p.a. on working capital loans availed by eligible Participating Agencies (PAs) from banks and financial institutions. An additional interest subvention of 2% p.a. is payable for prompt and timely repayment.
 Dairy Cooperatives & Farmer Producer Organizations,What is the significance of the interest subvention component during the Covid-19 lockdown in 2020-21?,"Due to economic difficulties faced by dairy cooperatives and Producer Owned Institutions during the Covid-19 lockdown, the scheme incorporated a component of ""Interest Subvention on working capital loans"" with an outlay of Rs. 100 crore."
 Dairy Cooperatives & Farmer Producer Organizations,"How does the ""SDCFPO"" scheme contribute to the economic recovery of dairy cooperatives?","The scheme contributes to the economic recovery of dairy cooperatives by providing interest subvention on working capital loans, thereby stabilizing their financial situation and supporting dairy farmers."
